"","cdata2.year","cdata2.area1","cdata2.street","cdata2.street22"
"1",2011,"Birmingham","Acocks Green"," "
"2",2011,"A","Adderly Street"," "
"3",2011,"A","Alcester Raod Mosley"," "
"4",2011,"A","Alcester Road"," "
"5",2011,"A","Alcester Road Moseley"," "
"6",2011,"A","Alcester Road Moseley"," "
"7",2011,"A","Alfred Street"," "
"8",2011,"A","All Service Club Mosley"," "
"9",2011,"A","Alum Rock Road"," "
"10",2011,"A","Alum Rock Road"," "
"11",2011,"A","Alum Rock Road"," "
"12",2011,"A","Alum Rock Road"," "
"13",2011,"A","Arcadian Centre"," "
"14",2011,"A","Arden Road Saltley"," "
"15",2011,"A","Asda Chemsley Wood"," "
"16",2011,"A","Balsahll Heath Park J W Brighton Road"," "
"17",2011,"A","Bamford Road"," "
"18",2011,"A","Bamford Road"," "
"19",2011,"A","Beechbrook Avenue Sparkhill"," "
"20",2011,"A","Belchers Lane"," "
"21",2011,"A","Belchers Lane"," "
"22",2011,"A","Belchers Lane"," "
"23",2011,"A","Belchers Lane Bordesley Green"," "
"24",2011,"A","Bell Street"," "
"25",2011,"A","Berkley Rd East Haymills"," "
"26",2011,"Birmingham","Birmingham Airport"," "
"27",2011,"Birmingham","Birmingham International Railway Station"," "
"28",2011,"A","Bordesley Green"," "
"29",2011,"A","Bordesley Green Bordesley Green"," "
"30",2011,"A","Bristol Road"," "
"31",2011,"A","Bristol Street"," "
"32",2011,"A","Broad Street"," "
"33",2011,"A","Broad Street"," "
"34",2011,"Birmingham","Broad Street Birmingham"," "
"35",2011,"A","Buckland End Lane Shard End"," "
"36",2011,"A","Bulls Head Ph St Marys Row"," "
"37",2011,"A","Bushbury Road Kitts Green"," "
"38",2011,"A","Chartice Road"," "
"39",2011,"A","Chestnut Road"," "
"40",2011,"A","Church Rd Stechford"," "
"41",2011,"A","Church Road Sheldon"," "
"42",2011,"A","Clifford Rd Dorridge"," "
"43",2011,"A","Clock Lane"," "
"44",2011,"A","Colonial Road Bordesley Green"," "
"45",2011,"Birmingham","Corporation St Birmingham"," "
"46",2011,"A","Corporation Street"," "
"47",2011,"Coventry","Coventry Rd Small Heath"," "
"48",2011,"Coventry","Coventry Rd Small Heath Bham"," "
"49",2011,"Coventry","Coventry Road"," "
"50",2011,"Coventry","Coventry Road"," "
"51",2011,"Coventry","Coventry Road"," "
"52",2011,"Coventry","Coventry Road"," "
"53",2011,"Coventry","Coventry Road"," "
"54",2011,"Coventry","Coventry Road Small Heath"," "
"55",2011,"Coventry","Coventry Road Small Heath"," "
"56",2011,"Coventry","Coventry Road Small Heath"," "
"57",2011,"A","Cranes Park Road"," "
"58",2011,"A","Cranes Park Road Sheldon"," "
"59",2011,"A","Crossfield Road"," "
"60",2011,"A","Crossfields Road Kitts Green"," "
"61",2011,"A","Cxhurch Rd Stechford Bham"," "
"62",2011,"A","Digbeth High Street"," "
"63",2011,"A","Edgbaston Road"," "
"64",2011,"A","Edward Road Moseley"," "
"65",2011,"A","Fighting Cox Ph"," "
"66",2011,"A","Foremans Road Sparkhill"," "
"67",2011,"A","Front Office Kings Heath"," "
"68",2011,"A","Garretts Green Road Garretts Green"," "
"69",2011,"A","Giles Close"," "
"70",2011,"A","Giles Close Stechford"," "
"71",2011,"A","Glazedale Road"," "
"72",2011,"A","Gospel Farm Road"," "
"73",2011,"A","Gospel Farm Road"," "
"74",2011,"A","Gospel Lane"," "
"75",2011,"A","Gospel Lane"," "
"76",2011,"A","Gospel Lane"," "
"77",2011,"Birmingham","Gospel Lane Acocks Green"," "
"78",2011,"A","Grace Church Sutton Coldfield"," "
"79",2011,"A","Great Hampton Street"," "
"80",2011,"A","Green Lane"," "
"81",2011,"A","Greswell Lane Shard End"," "
"82",2011,"A","Harlequin Drive Mosley"," "
"83",2011,"A","Haslucks Green Road"," "
"84",2011,"A","Hazeldean Road"," "
"85",2011,"A","Heartlands Hospital"," "
"86",2011,"A","Heartlands Hospital"," "
"87",2011,"A","Heartlands Hospital A E"," "
"88",2011,"A","Heartlands Hospital A E"," "
"89",2011,"A","Heartlands Hospital A E"," "
"90",2011,"A","Hepben Grove"," "
"91",2011,"A","Herrick Road"," "
"92",2011,"A","Herrick Road Washwood Heath"," "
"93",2011,"A","Herrick Road Washwood Heath"," "
"94",2011,"Solihull","High St Solihull"," "
"95",2011,"A","High Street Kings Heath"," "
"96",2011,"A","High Street Kings Heath"," "
"97",2011,"A","High Street Kings Heath"," "
"98",2011,"A","Hob Moor Road At Starbank Road"," "
"99",2011,"A","Holloway Head Bham City Centre"," "
"100",2011,"A","Hollywell Road"," "
"101",2011,"A","Home Address"," "
"102",2011,"A","Home Address"," "
"103",2011,"A","Homer Street"," "
"104",2011,"A","Hunters Moon Public House"," "
"105",2011,"A","Hurst Street"," "
"106",2011,"A","Hurst Street"," "
"107",2011,"A","Hurst Street"," "
"108",2011,"Birmingham","Hurst Street Birmingham"," "
"109",2011,"A","Kings Heath High Street"," "
"110",2011,"A","Knowle Rd Small Heath Bham"," "
"111",2011,"A","Ladypool Road"," "
"112",2011,"A","Ladypool Road"," "
"113",2011,"A","Ladywell Walk"," "
"114",2011,"A","Lea Hall Rd"," "
"115",2011,"A","Lea Hall Rd"," "
"116",2011,"A","Lea Village Stechford"," "
"117",2011,"A","Lenches Close Mosley"," "
"118",2011,"A","Lime Tree Road"," "
"119",2011,"A","Lode Lane Hermitage Road"," "
"120",2011,"A","Long Street"," "
"121",2011,"A","Long Street Sparkhill"," "
"122",2011,"A","Longbridge Lane"," "
"123",2011,"A","Longmeadow Crescent Shard End Bham"," "
"124",2011,"A","Maccadown Lane"," "
"125",2011,"A","Masshouse Lane"," "
"126",2011,"A","Meadwaym Stechford"," "
"127",2011,"A","Mickleover Road Bromford"," "
"128",2011,"A","Moorcroft Road"," "
"129",2011,"A","Moseley Road"," "
"130",2011,"A","Moseley Road"," "
"131",2011,"A","Moseley Road"," "
"132",2011,"A","Moseley Road"," "
"133",2011,"A","Moseley Village"," "
"134",2011,"A","Moseley Village"," "
"135",2011,"A","Moseley Village Alcester Road"," "
"136",2011,"A","Mosley All Services Club Church Road Moseley"," "
"137",2011,"A","Nearlands Close Quinton"," "
"138",2011,"A","New Street"," "
"139",2011,"A","Northfield High Street"," "
"140",2011,"A","O S Behans Highfield Road Billesley"," "
"141",2011,"A","O S The Junction Mosley Village"," "
"142",2011,"A","O S Washwood Heath Road"," "
"143",2011,"Birmingham","Oakhill Road Acocks Green"," "
"144",2011,"A","Opp White Hart Lane Cooks Lane"," "
"145",2011,"A","Opposite Aldi Stratford Road"," "
"146",2011,"A","Outside Java Lounge Alcester Road"," "
"147",2011,"A","Outside O2 Academy Night Club B Ham City Centre"," "
"148",2011,"A","Outside Raven Public House"," "
"149",2011,"A","Packington Avenue Shard End"," "
"150",2011,"A","Park Off Hob Moor Road"," "
"151",2011,"A","Parkhall Croft"," "
"152",2011,"A","Pear Tree Ph"," "
"153",2011,"A","Police Station"," "
"154",2011,"A","Police Station Stechford"," "
"155",2011,"A","Poplar Road"," "
"156",2011,"A","Poplar Road"," "
"157",2011,"Solihull","Poplar Road Solihull"," "
"158",2011,"Solihull","Poplar Road Solihull"," "
"159",2011,"A","Preston Road"," "
"160",2011,"A","Priory Road Hall Green"," "
"161",2011,"A","Prospect Road"," "
"162",2011,"A","Queenswood Road"," "
"163",2011,"A","Rear Of Boots High Street"," "
"164",2011,"A","Reddings Lane Tsyley"," "
"165",2011,"A","Richmond Primary Care Centre Richmond Road Stechford"," "
"166",2011,"A","Ring Road Stourbridge"," "
"167",2011,"A","Sainsburys Wawrick Road"," "
"168",2011,"A","Sainsburys Alcester Road South"," "
"169",2011,"A","Sandford Road Moseley"," "
"170",2011,"A","Sarehole Mill"," "
"171",2011,"A","Sedgemere Road"," "
"172",2011,"A","Shirley Road"," "
"173",2011,"A","Shirley Road"," "
"174",2011,"A","Snow Hill"," "
"175",2011,"Solihull","Solihull Lane"," "
"176",2011,"A","St Mary S Road Moseley"," "
"177",2011,"A","St Marys Row"," "
"178",2011,"A","Station Road"," "
"179",2011,"Birmingham","Station Way Birmingham International Rail Station"," "
"180",2011,"A","Stechford Front Office"," "
"181",2011,"A","Stechford P S"," "
"182",2011,"A","Stechford Retail Park"," "
"183",2011,"A","Stonehenge Croft Druids Heath"," "
"184",2011,"A","Stoney Lane"," "
"185",2011,"A","Stoney Lane"," "
"186",2011,"A","Stoney Lane"," "
"187",2011,"Birmingham","Stratford Heath Spark Hill Birmingham"," "
"188",2011,"A","Stratford Road"," "
"189",2011,"A","Stratford Road"," "
"190",2011,"A","Stratford Road"," "
"191",2011,"A","Stratford Road Hall Green"," "
"192",2011,"A","Stratford Roads"," "
"193",2011,"A","Stuart Road Stechford"," "
"194",2011,"A","Talbort Street"," "
"195",2011,"A","Taunton Road"," "
"196",2011,"A","Tavistock Road"," "
"197",2011,"A","The Avenue"," "
"198",2011,"A","The Paer Tree Pub"," "
"199",2011,"A","Trafalger Road"," "
"200",2011,"A","Wake Green Road"," "
"201",2011,"A","Ward End Road"," "
"202",2011,"A","Warwick Road"," "
"203",2011,"A","Warwick Road"," "
"204",2011,"A","Warwick Road"," "
"205",2011,"A","Warwick Road"," "
"206",2011,"A","Warwick Road"," "
"207",2011,"A","Warwick Road Tysley"," "
"208",2011,"A","Wash Lane"," "
"209",2011,"A","Washford Heath Road"," "
"210",2011,"A","Washwood Heath Pub"," "
"211",2011,"A","Washwood Heath Rd Washwood Heath Bham"," "
"212",2011,"A","Washwood Heath Road"," "
"213",2011,"A","Washwood Heath Road"," "
"214",2011,"A","Washwood Heath Road"," "
"215",2011,"A","Washwood Heath Road"," "
"216",2011,"Birmingham","Watery Lane Middleway Birmingham"," "
"217",2011,"A","Wawrick Road"," "
"218",2011,"A","Welshfarm Road Quinton"," "
"219",2011,"A","Westley Road"," "
"220",2011,"Birmingham","Westley Road Acocks Green"," "
"221",2011,"A","White Hart Public House"," "
"222",2011,"A","White Hart Public House"," "
"223",2011,"A","Whiteheart Pub Gressell Lane"," "
"224",2011,"A","William Hill Bookmakers Washwood Heath Road"," "
"225",2011,"A","William Hill Bookmakers Washwood Heath Road"," "
"226",2011,"A","William Hill Washwood Heath Road"," "
"227",2011,"A","Windward Road"," "
"228",2011,"A","Windward Road"," "
"229",2011,"A","Wood End Road Erdington"," "
"230",2011,"A","Woodbridge Road Moseley"," "
"231",2011,"A","Wright Street"," "
"232",2011,"A","Yardley Green Road"," "
"233",2011,"Birmingham","Yardley Road Acocks Green"," "
"234",2011,"A","Yardley Wood Road"," "
"235",2011,"A","Yardley Wood Road"," "
"236",2011,"A","Yew Tree Car Park"," "
"237",2011,"A","Yew Tree Lane"," "
"238",2011,"A","Yew Tree Public House Car Park"," "
"239",2011,"Birmingham","Armada Pub Slade Road Erdington Birmingham"," "
"240",2011,"A","Armarda Pub Gravelly Hill"," "
"241",2011,"A","Armarda Pub Gravelly Hill"," "
"242",2011,"A","Badgers Bank Road"," "
"243",2011,"Birmingham","Baldmoor Lake Road Erdington Birmingham"," "
"244",2011,"A","Bandywood Rd Kingstanding"," "
"245",2011,"A","Beckenham Road"," "
"246",2011,"A","Beeches Walk"," "
"247",2011,"Birmingham","Birmingham Rd"," "
"248",2011,"Birmingham","Birmingham Rd"," "
"249",2011,"Birmingham","Birmingham Rd Sc"," "
"250",2011,"Birmingham","Birmingham Road"," "
"251",2011,"Birmingham","Birmingham Road"," "
"252",2011,"Birmingham","Birmingham Road Sutton"," "
"253",2011,"Birmingham","Birmingham Road Erdington"," "
"254",2011,"Birmingham","Birmingham Road Sutton Coldfield"," "
"255",2011,"Birmingham","Birmingham Road Sutton Coldfield"," "
"256",2011,"A","Bowling Green Close"," "
"257",2011,"A","Bracebridge Road Erdington"," "
"258",2011,"A","Brassington Avenue"," "
"259",2011,"A","Bromford Lane"," "
"260",2011,"A","Bromford Lane Erdington B Ham"," "
"261",2011,"A","Brookvale Park Road"," "
"262",2011,"A","Carhampton Road Falcon Lodge Sutton Colfield"," "
"263",2011,"A","Carshalton Road"," "
"264",2011,"A","Carshorlton Road"," "
"265",2011,"A","Chester Rd"," "
"266",2011,"A","Chester Road"," "
"267",2011,"A","Chester Road Halls Garden Centre"," "
"268",2011,"A","Church Rd At Chester Rd"," "
"269",2011,"A","College Road Kingstanding B Ham"," "
"270",2011,"A","College Road Kingstanding B Ham"," "
"271",2011,"A","Copshill Court Mount View Sutton Coldfield"," "
"272",2011,"A","Dovedale Road Erdington B Ham"," "
"273",2011,"A","Downside Road Erdington B Ham"," "
"274",2011,"A","Eachelhurt Road Erdington"," "
"275",2011,"A","Erdington Hall Road"," "
"276",2011,"A","Erdington Hall Road"," "
"277",2011,"A","Erdington High Street"," "
"278",2011,"A","Fentham Road Erdington B Ham"," "
"279",2011,"A","Finchley Road"," "
"280",2011,"A","Finchley Road Kingstanding B Ham"," "
"281",2011,"A","George Frederick Road"," "
"282",2011,"A","Golden Pond Take Away A A A A Aya  Boldmere Road","Golden Pond Take Away ≈‰Ï˝Âê Boldmere Road"
"283",2011,"A","Good Hope Hospital"," "
"284",2011,"A","Gracechurch Centre"," "
"285",2011,"A","Gracechurch Centre Outside Supercigs"," "
"286",2011,"A","Gracechurch Shopping Centre Sutton Coldfield"," "
"287",2011,"A","Grassed Area Pype Hayes Park"," "
"288",2011,"A","Gravelley Lane"," "
"289",2011,"A","Gravelley Lane"," "
"290",2011,"A","Gravelley Lane"," "
"291",2011,"Birmingham","Gravelly Lane Erdington Birmingham"," "
"292",2011,"A","Hairy Lemon Pub Sutton Coldfield"," "
"293",2011,"A","Hairy Lemon Pub Sutton Coldfield"," "
"294",2011,"A","Hermatige Road"," "
"295",2011,"A","Hermatige Road"," "
"296",2011,"A","Hermitage Drive"," "
"297",2011,"A","High Street"," "
"298",2011,"A","High Street Erdington"," "
"299",2011,"A","High Street Erdington"," "
"300",2011,"A","High Street Erdington"," "
"301",2011,"A","High Street S C"," "
"302",2011,"A","High Street S C"," "
"303",2011,"A","Hight St Erdington"," "
"304",2011,"A","Hunton Hill"," "
"305",2011,"A","Kfc Retail Outlet Erdington High Street"," "
"306",2011,"A","Kingsbury Road Erdington B Ham"," "
"307",2011,"A","Kingstanding Circle"," "
"308",2011,"Birmingham","Ladywell Walk Birmingham"," "
"309",2011,"A","Landsdown Road"," "
"310",2011,"A","Lichfield Road Mere Green"," "
"311",2011,"A","Lichfield Road Sutton Coldfield"," "
"312",2011,"A","Lindridge Road Sutton Coldfield"," "
"313",2011,"A","Little Aston Lane"," "
"314",2011,"A","Longford Road"," "
"315",2011,"A","Longford Road Kingstanding B Ham"," "
"316",2011,"A","Lower Parade"," "
"317",2011,"A","Lower Parade"," "
"318",2011,"A","Lower Parade"," "
"319",2011,"A","Lower Parade"," "
"320",2011,"A","Lower Parade"," "
"321",2011,"A","Lower Parade"," "
"322",2011,"A","Lower Parade"," "
"323",2011,"A","Lower Parade"," "
"324",2011,"A","Lower Parade"," "
"325",2011,"A","Lower Parade"," "
"326",2011,"A","Lower Parade"," "
"327",2011,"A","Lower Parade"," "
"328",2011,"A","Lower Parade"," "
"329",2011,"A","Lower Parade"," "
"330",2011,"A","Lower Parade"," "
"331",2011,"A","Lower Parade"," "
"332",2011,"A","Lower Parade"," "
"333",2011,"A","Lower Parade"," "
"334",2011,"A","Lower Parade"," "
"335",2011,"A","Lower Parade Sc"," "
"336",2011,"A","Lower Parade Sutton"," "
"337",2011,"A","Lower Parade Sutton Coldfield"," "
"338",2011,"A","Lower Parade"," "
"339",2011,"A","Lower Parade Suton Coldfield"," "
"340",2011,"A","Lower Parade Sutton Coldfield"," "
"341",2011,"A","Lower Parade Sutton Coldfield"," "
"342",2011,"A","Lower Parade Sutton Coldfield"," "
"343",2011,"A","Lower Parade Sutton Coldfield"," "
"344",2011,"A","Lower Parade Sutton Coldfield"," "
"345",2011,"A","Lower Parade Sutton Coldfield"," "
"346",2011,"A","Lower Parade Sutton Coldfield"," "
"347",2011,"A","Lower Parade Sutton Coldfield"," "
"348",2011,"A","Lower Parade Sutton Coldfield"," "
"349",2011,"A","Lower Parade Sutton Coldfield"," "
"350",2011,"A","Lower Parade Sutton Coldfield"," "
"351",2011,"A","Lower Parade Sutton Coldfield"," "
"352",2011,"A","Lower Parade Sutton Coldfield"," "
"353",2011,"A","Lower Parade Sutton Coldfield"," "
"354",2011,"A","Lower Parade Sutton Coldfield"," "
"355",2011,"A","Lower Parade Sutton Coldfield Town Centre"," "
"356",2011,"A","Lower Parade Sutton Coldfield Town Centre"," "
"357",2011,"A","Lower Parade Sutton Coldfield"," "
"358",2011,"A","Lydham Close"," "
"359",2011,"A","Mill Street"," "
"360",2011,"A","Mill Street Sutton Coldfield"," "
"361",2011,"A","Moor Hall Hotel"," "
"362",2011,"Birmingham","Mulberry Court Carpark Kings Road Kingstanding Birmingham"," "
"363",2011,"A","Newhall Walk Car Park"," "
"364",2011,"A","Newhall Walk Car Park"," "
"365",2011,"A","O S H A"," "
"366",2011,"A","O S Litten Tree"," "
"367",2011,"A","O S Litten Tree S C Town Centre"," "
"368",2011,"A","O S Moomoo Bar S C Town Centre"," "
"369",2011,"A","O S Moomoo Bar South Parade"," "
"370",2011,"A","O S Retro"," "
"371",2011,"A","O S Retro South Parade"," "
"372",2011,"A","O S Retros"," "
"373",2011,"A","O S Royal Hotel Lichfield Road"," "
"374",2011,"A","O S Temple Bar"," "
"375",2011,"A","O S Temple Bar"," "
"376",2011,"A","O S Temple Bar High Street"," "
"377",2011,"A","O S Temple Bar Lower Parade Sutton Coldfield"," "
"378",2011,"A","O S Temple Bar S C Town Centre"," "
"379",2011,"A","O S Temple Bar Sutton Coldfield West Milands"," "
"380",2011,"A","O S The Hairy Lemon"," "
"381",2011,"A","On Pavement Outside The Royal Hotel"," "
"382",2011,"A","Ourtside Royal Pub Lichfield Road Sutton Coldfield"," "
"383",2011,"A","Outside Glendale Tower Lyndhurst Estate"," "
"384",2011,"Birmingham","Outside Litten Tree Pub Birmingham Road Sutton Coldfield"," "
"385",2011,"A","Outside Moo Moo Club Town Centre Sutton Coldfield"," "
"386",2011,"A","Outside Moo Moo Night Club South Parade"," "
"387",2011,"A","Outside Temple Parade Lower Parade"," "
"388",2011,"A","Outside The Temple Bar Lower Parade Sc"," "
"389",2011,"A","Parade Sutton Coldfield"," "
"390",2011,"A","Parade Sc"," "
"391",2011,"A","Parade Sutton Coldfield"," "
"392",2011,"A","Parade Sutton Coldfield"," "
"393",2011,"A","Parade Sutton Coldfield"," "
"394",2011,"A","Parade Sutton Town"," "
"395",2011,"A","Parade Sutton Coldfield"," "
"396",2011,"A","Parade Sutton Coldfield"," "
"397",2011,"A","Parade Sutton Town Centre"," "
"398",2011,"A","Parkeston Crescent Kinsgatnding B Ham"," "
"399",2011,"A","Plants Grove Erdington"," "
"400",2011,"A","Pype Hayes Road Pype Hayes B Ham"," "
"401",2011,"A","Pype Hayes Road Pype Hayes B Ham"," "
"402",2011,"A","Pype Hayes Road Pype Hayes B Ham"," "
"403",2011,"A","Queen Street"," "
"404",2011,"A","Queen Street"," "
"405",2011,"A","Queen Street"," "
"406",2011,"A","Queen Street"," "
"407",2011,"A","Queen Street Sutton Coldfield Town Centre"," "
"408",2011,"A","Queslett Road East"," "
"409",2011,"A","Redacre Rd Boldmere"," "
"410",2011,"A","Reservoir Road"," "
"411",2011,"A","Ridgeway"," "
"412",2011,"A","Slade Road Erdington B Ham"," "
"413",2011,"A","Slade Road Erdington B Ham"," "
"414",2011,"A","Soth Parade Sutton Coldfield"," "
"415",2011,"A","Soth Parade Sutton Coldfield"," "
"416",2011,"A","South Parade"," "
"417",2011,"A","South Parade"," "
"418",2011,"A","South Parade"," "
"419",2011,"A","South Parade"," "
"420",2011,"A","South Parade"," "
"421",2011,"A","South Parade"," "
"422",2011,"A","South Parade"," "
"423",2011,"A","South Parade"," "
"424",2011,"A","South Parade"," "
"425",2011,"A","South Parade"," "
"426",2011,"A","South Parade"," "
"427",2011,"A","South Parade"," "
"428",2011,"A","South Parade A A A A Aya  Town Centre Sutton Coldfield","South Parade ≈‰Ï˝Âê Town Centre Sutton Coldfield"
"429",2011,"A","South Parade Sutton Coldfield"," "
"430",2011,"A","South Parade Sutton Coldfield"," "
"431",2011,"A","South Parade Sutton Town Centre"," "
"432",2011,"A","South Parade Sutton Coldfield"," "
"433",2011,"A","South Parade Sutton Coldfield"," "
"434",2011,"A","South Parade Sutton Coldfield"," "
"435",2011,"A","South Parade Sutton Coldfield"," "
"436",2011,"A","South Parade Sutton Coldfield"," "
"437",2011,"A","South Parade Sutton Coldfield"," "
"438",2011,"A","South Parade Sutton Coldfield"," "
"439",2011,"A","South Parade Sutton Coldfield"," "
"440",2011,"A","South Parade Sutton Coldfield"," "
"441",2011,"A","South Parade Sutton Coldfield"," "
"442",2011,"A","South Parade Sutton Coldfield"," "
"443",2011,"A","South Parade Sutton Town Centre"," "
"444",2011,"A","South Parade Town Centre Sutton Coldfield"," "
"445",2011,"A","Stornaway Road Castle Vale"," "
"446",2011,"A","Streetley Road Erdington"," "
"447",2011,"A","Sumburgh Croft"," "
"448",2011,"A","Sutton Coldfield Town Centre"," "
"449",2011,"A","Sutton Coldfield Town Centre"," "
"450",2011,"A","Sutton New Road"," "
"451",2011,"A","Sutton New Road Erdington"," "
"452",2011,"A","Sutton New Road Erdington"," "
"453",2011,"A","Sutton New Road Erdington"," "
"454",2011,"A","Sutton New Road Erdington B Ham"," "
"455",2011,"A","Sutton Parade"," "
"456",2011,"A","Sutton Parade"," "
"457",2011,"A","Sutton Parade"," "
"458",2011,"A","Sutton Town Centre"," "
"459",2011,"A","Sutton Town Centre"," "
"460",2011,"A","Sutton Town Centre"," "
"461",2011,"A","Sutton Town Centre"," "
"462",2011,"A","Sutton Town Centre"," "
"463",2011,"A","Tedbury Crescent"," "
"464",2011,"Walsall","Tesco S Express Walsall Road Four Oaks Sutton Coldfield"," "
"465",2011,"A","The Parade"," "
"466",2011,"A","The Parade"," "
"467",2011,"A","The Parade"," "
"468",2011,"A","The Parade Sutton"," "
"469",2011,"A","The Parade Sutton Coldfield"," "
"470",2011,"Birmingham","The Parade Birmingham Road Sutton Coldfield"," "
"471",2011,"A","The Parade Sutton Coldfield"," "
"472",2011,"A","The Parade Sutton Coldfield"," "
"473",2011,"A","The Parade Sutton Coldfield"," "
"474",2011,"A","The Parade Sutton Coldfield"," "
"475",2011,"A","The Parade Sutton Coldfield"," "
"476",2011,"A","The Parade Sutton Coldfield"," "
"477",2011,"A","The Parade Sutton Town Centre"," "
"478",2011,"A","The Parade"," "
"479",2011,"A","The Ridgeway"," "
"480",2011,"A","The Ridgeway"," "
"481",2011,"A","The Ridgeway"," "
"482",2011,"A","The Swan Ph"," "
"483",2011,"A","Turnhouse Road"," "
"484",2011,"A","Upper Holland Road"," "
"485",2011,"A","Victoria Rd"," "
"486",2011,"A","Victoria Rd"," "
"487",2011,"A","Victoria Rd"," "
"488",2011,"A","Walsh Drive Walmley Sutton Coldfield"," "
"489",2011,"A","Warren Farm Rd"," "
"490",2011,"A","Warren Farm Road"," "
"491",2011,"A","Whitehouse Common Rd"," "
"492",2011,"A","Wilton Rd"," "
"493",2011,"A","Windsor House Jarvis Road Erdington"," "
"494",2011,"A","Witton Lodge Road"," "
"495",2011,"A","Witton Lodge Road Erdington"," "
"496",2011,"A","York Road"," "
"497",2011,"A","Abdon Ave"," "
"498",2011,"A","Alcester Road South"," "
"499",2011,"A","Alvechurch Rd"," "
"500",2011,"A","Arden Road"," "
"501",2011,"A","Ardencote Froad"," "
"502",2011,"A","Ashley Close"," "
"503",2011,"A","Balti Spice Bristol Rd South"," "
"504",2011,"A","Barnes Hill"," "
"505",2011,"A","Barrow House"," "
"506",2011,"A","Bell Street"," "
"507",2011,"Birmingham","Birmingham New Street"," "
"508",2011,"Birmingham","Birmingham New Street"," "
"509",2011,"Birmingham","Birmingham New Street"," "
"510",2011,"Birmingham","Birmingham Street Oldbury"," "
"511",2011,"A","Blandford Road"," "
"512",2011,"A","Bournbrook Road"," "
"513",2011,"A","Bournville Front Office"," "
"514",2011,"A","Bournville Front Office"," "
"515",2011,"A","Bournville Lane"," "
"516",2011,"A","Bournville Lane"," "
"517",2011,"A","Bournville Lane Front Office"," "
"518",2011,"A","Bowling Green Road"," "
"519",2011,"A","Bristol Rd"," "
"520",2011,"A","Bristol Rd"," "
"521",2011,"A","Bristol Rd"," "
"522",2011,"A","Bristol Rd"," "
"523",2011,"A","Bristol Rd Selly Oak"," "
"524",2011,"A","Bristol Rd South"," "
"525",2011,"A","Bristol Rd South"," "
"526",2011,"A","Bristol Rd Sth"," "
"527",2011,"A","Bristol Rd Northfield"," "
"528",2011,"A","Bristol Rd Selly Oak"," "
"529",2011,"A","Bristol Road"," "
"530",2011,"A","Bristol Road"," "
"531",2011,"A","Bristol Road"," "
"532",2011,"A","Bristol Road"," "
"533",2011,"A","Bristol Road"," "
"534",2011,"A","Bristol Road"," "
"535",2011,"A","Bristol Road"," "
"536",2011,"A","Bristol Road"," "
"537",2011,"A","Bristol Road"," "
"538",2011,"A","Bristol Road"," "
"539",2011,"A","Bristol Road"," "
"540",2011,"A","Bristol Road"," "
"541",2011,"A","Bristol Road"," "
"542",2011,"A","Bristol Road"," "
"543",2011,"A","Bristol Road Northfield"," "
"544",2011,"A","Bristol Road Selly Oak"," "
"545",2011,"A","Bristol Road Selly Oak"," "
"546",2011,"A","Bristol Road Selly Oak"," "
"547",2011,"A","Bristol Road South Northfield"," "
"548",2011,"A","Bristol Road South Selly Oak"," "
"549",2011,"A","Bristol Road Selly Oak"," "
"550",2011,"A","Bristol Road Selly Oak"," "
"551",2011,"A","Bristol Road Selly Oak"," "
"552",2011,"A","Broad Street"," "
"553",2011,"A","Broad Street"," "
"554",2011,"A","Broad Street"," "
"555",2011,"A","Broad Street City Centre"," "
"556",2011,"A","Broad Street City Centre"," "
"557",2011,"A","Brook Lane"," "
"558",2011,"A","Bunburry Road"," "
"559",2011,"A","Bunburry Road"," "
"560",2011,"Birmingham","Burnhill Grove Weoley Castle Birmingham"," "
"561",2011,"A","Car Park Of Bournville Lane P Stn"," "
"562",2011,"A","Chinbrook Road Billsley"," "
"563",2011,"A","Church Hill Nortthfield"," "
"564",2011,"A","Church Road"," "
"565",2011,"A","Compton Road Cradley Heath"," "
"566",2011,"A","Costcutters Ardern Road"," "
"567",2011,"A","Dawberry Road"," "
"568",2011,"A","Dawlish Road"," "
"569",2011,"A","Dingle Club"," "
"570",2011,"A","Doddington Road"," "
"571",2011,"A","Dog Kennel Lane"," "
"572",2011,"A","Dog Pool Lane"," "
"573",2011,"A","Downfield Drive"," "
"574",2011,"Dudley","Dudley Bus Station"," "
"575",2011,"A","Dwellings Lane"," "
"576",2011,"A","Eafo"," "
"577",2011,"A","Edgbaston Cricket Ground"," "
"578",2011,"A","Edgbaston Park Road"," "
"579",2011,"A","Exeter Rd Hubert Rd"," "
"580",2011,"A","Fordhouse Lane"," "
"581",2011,"A","Four Acres Quinton"," "
"582",2011,"A","Frogmill Road Frankley"," "
"583",2011,"A","Genners Lane"," "
"584",2011,"A","Glastonbury Road"," "
"585",2011,"A","Great Park Rubery"," "
"586",2011,"A","Griffins Brook Lane"," "
"587",2011,"A","Grosvenor Shopping Centre"," "
"588",2011,"A","Hagley Road"," "
"589",2011,"A","Hagley Road"," "
"590",2011,"A","Hagley Road"," "
"591",2011,"A","Hagley Road"," "
"592",2011,"A","Hagley Road"," "
"593",2011,"A","Hagley Road"," "
"594",2011,"A","Hagley Road"," "
"595",2011,"A","Hagley Road"," "
"596",2011,"A","Hagley Road"," "
"597",2011,"A","Hagley Road Edgbaston"," "
"598",2011,"A","Hagley Road Eedgbaston"," "
